GeneID	GeneName	blastula 128-cell	blastula1k-cell	blastuladome	cleavage2-cell	gastrula50-epiboly	gastrula75-epiboly	gastrulashield	hatchinglong-pec	larvalday4	larvalday5	larvalprotrudingmouth	pharyngulaprim-15	pharyngulaprim-25	pharyngulaprim-5	segmentation1-4somites	segmentation14-19somites	segmentation20-25somites	zygote
ENSDARG00000000001	slc35a5	6	7	3	3	1	2	1	2	2	2	2	1	1	1	1	0.8	0.9	1
ENSDARG00000000002	ccdc80	1	0.6	0.3	2	0.1	0	0	6	9	9	9	5	4	4	0.3	1	4	0
ENSDARG00000000018	nrf1	34	58	49	7	27	20	17	21	10	12	13	19	29	21	28	29	23	3
ENSDARG00000000019	ube2h	70	74	78	74	54	46	43	35	52	47	51	32	28	39	28	19	32	68
ENSDARG00000000068	slc9a3r1	37	34	30	20	36	22	31	5	22	18	14	5	5	9	9	12	10	20
ENSDARG00000000069	dap	50	47	44	111	36	25	30	33	48	36	35	43	35	43	33	35	41	125
ENSDARG00000000086	itsn1	7	8	7	2	4	3	2	6	8	7	6	5	6	5	6	5	6	0.8
ENSDARG00000000103	myh10	16	20	17	6	16	14	11	26	19	17	19	31	33	36	28	29	33	11
ENSDARG00000000142	TMEM267	9	8	5	2	4	2	2	4	5	3	4	2	3	1	2	1	2	0.6
ENSDARG00000000151	thraa	12	13	5	3	0.9	1	0.5	2	2	3	2	2	2	1	0.9	0.8	1	2
ENSDARG00000000161	itsn2a	0.3	0.2	0.4	0	0.1	0.1	0	2	3	3	3	0.3	0.5	0.4	0.3	0.3	0.3	0
ENSDARG00000000175	hoxb2a	5	1	1	0	0	0	0	12	5	4	7	14	15	12	9	16	15	0
ENSDARG00000000183	ptpn4b	28	34	13	23	2	1	1	5	7	7	7	4	4	4	4	6	6	18
ENSDARG00000000189	sema6e	6	8	1	6	0.2	0.2	0.2	6	9	9	8	3	4	3	1	1	2	3
ENSDARG00000000212	krt97	0.5	0	21	0.2	235	422	430	76	188	222	62	101	59	77	191	125	76	0
ENSDARG00000000229	usp49	3	3	3	0.3	3	7	4	9	5	5	7	8	9	8	7	8	8	0
ENSDARG00000000241	slc40a1	0.2	0.3	0.2	0.2	0.4	0.6	0.5	22	30	27	21	25	22	25	2	5	13	0.1
ENSDARG00000000324	dcaf8	20	20	10	16	4	4	4	8	11	12	10	6	9	5	6	6	6	14
ENSDARG00000000349	si:rp71-1p14.7	0	0	0	0	0	0	0	1	0	0	0.7	1	0.7	2	0.6	0.9	0.7	0
ENSDARG00000000369	prkag3b	0	0	0	0	0	0	0	3	5	5	5	5	6	5	0.5	2	4	0
ENSDARG00000000370	triob	0.1	0.2	0	0	0	0.3	0	3	6	6	5	3	4	3	3	3	3	0
ENSDARG00000000380	pde6a	0	0	0.2	0	0.2	0.5	0.2	0.3	7	7	4	0.3	0.3	0	0.5	0.2	0	0
ENSDARG00000000394	matr3l1.1	66	55	62	45	87	95	112	31	20	20	24	37	37	42	81	58	49	38
ENSDARG00000000423	si:ch73-314g15.3	13	21	10	3	3	3	1	2	3	2	3	2	3	3	5	4	4	2
