GeneID	GeneName	GeneName_GeneID	zygote	cleavage2-cell	blastula 128-cell	blastula1k-cell	blastuladome	gastrula50-epiboly	gastrulashield	gastrula75-epiboly	segmentation1-4somites	segmentation14-19somites	segmentation20-25somites	pharyngulaprim-5	pharyngulaprim-15	pharyngulaprim-25	hatchinglong-pec	larvalprotrudingmouth	larvalday4	larvalday5
ENSDARG00000000001	slc35a5	slc35a5_ENSDARG00000000001	1	3	6	7	3	1	1	2	1	0.8	0.9	1	1	1	2	2	2	2
ENSDARG00000000002	ccdc80	ccdc80_ENSDARG00000000002	0	2	1	0.6	0.3	0.1	0	0	0.3	1	4	4	5	4	6	9	9	9
ENSDARG00000000018	nrf1	nrf1_ENSDARG00000000018	3	7	34	58	49	27	17	20	28	29	23	21	19	29	21	13	10	12
ENSDARG00000000019	ube2h	ube2h_ENSDARG00000000019	68	74	70	74	78	54	43	46	28	19	32	39	32	28	35	51	52	47
ENSDARG00000000068	slc9a3r1	slc9a3r1_ENSDARG00000000068	20	20	37	34	30	36	31	22	9	12	10	9	5	5	5	14	22	18
ENSDARG00000000069	dap	dap_ENSDARG00000000069	125	111	50	47	44	36	30	25	33	35	41	43	43	35	33	35	48	36
ENSDARG00000000086	itsn1	itsn1_ENSDARG00000000086	0.8	2	7	8	7	4	2	3	6	5	6	5	5	6	6	6	8	7
ENSDARG00000000103	myh10	myh10_ENSDARG00000000103	11	6	16	20	17	16	11	14	28	29	33	36	31	33	26	19	19	17
ENSDARG00000000142	TMEM267	TMEM267_ENSDARG00000000142	0.6	2	9	8	5	4	2	2	2	1	2	1	2	3	4	4	5	3
ENSDARG00000000151	thraa	thraa_ENSDARG00000000151	2	3	12	13	5	0.9	0.5	1	0.9	0.8	1	1	2	2	2	2	2	3
ENSDARG00000000161	itsn2a	itsn2a_ENSDARG00000000161	0	0	0.3	0.2	0.4	0.1	0	0.1	0.3	0.3	0.3	0.4	0.3	0.5	2	3	3	3
ENSDARG00000000175	hoxb2a	hoxb2a_ENSDARG00000000175	0	0	5	1	1	0	0	0	9	16	15	12	14	15	12	7	5	4
ENSDARG00000000183	ptpn4b	ptpn4b_ENSDARG00000000183	18	23	28	34	13	2	1	1	4	6	6	4	4	4	5	7	7	7
ENSDARG00000000189	sema6e	sema6e_ENSDARG00000000189	3	6	6	8	1	0.2	0.2	0.2	1	1	2	3	3	4	6	8	9	9
ENSDARG00000000212	krt97	krt97_ENSDARG00000000212	0	0.2	0.5	0	21	235	430	422	191	125	76	77	101	59	76	62	188	222
ENSDARG00000000229	usp49	usp49_ENSDARG00000000229	0	0.3	3	3	3	3	4	7	7	8	8	8	8	9	9	7	5	5
