Ensembl gene id	gene_name	log2FoldChange NoxO1-CTR/NoxO1-STZ	log2FoldChange NoxO1-CTR/WT-CTR	log2FoldChange NoxO1-p47-CTR/WT-CTR	log2FoldChange NoxO1-STZ/WT-STZ	log2FoldChange NoxO1-p47-STZ/WT-STZ	log2FoldChange WT-CTR/WT-STZ	log2FoldChange p47-STZ/WT-STZ	log2FoldChange NoxO1-p47-STZ/NoxO1-p47-CTR
ENSMUSG00000023944	Hsp90ab1	0.306447982	-0.101026585	-0.122074805	-0.175912367	0.085571727	0.230137062	0.128766808	-0.024749352
ENSMUSG00000023942	Slc29a1	0.11992599	0.068984635	0.052004351	0.167003877	0.017992688	0.215973731	0.067343117	-0.252443198
ENSMUSG00000023940	Sgol1	0.359270551	-0.613728709	1.041844307	-1.068641783	0.21544535	-0.012559758	-0.121037712	-0.814401174
ENSMUSG00000011960	Ccnt1	-0.125023799	-0.059080578	0.070114286	0.084492695	-0.078960809	0.018250118	0.27863737	-0.169727352
ENSMUSG00000035919	Bbs9	0.037898166	-0.1393446	-0.148758823	-0.224826509	-0.097375834	-0.048326615	-0.110800838	0.097489386
ENSMUSG00000035914	Cd276	0.195131842	0.131657368	0.007369758	0.276674212	0.057497194	0.338816704	0.095342006	-0.29013838
ENSMUSG00000035910	Dcdc2a	0.282762824	-0.052727853	-0.567550784	0.248752724	-0.169499437	0.597625866	-0.099728966	-0.182092257
ENSMUSG00000009647	Mcu	-0.487065027	-0.271387184	-0.004784188	0.162738251	-0.060336727	-0.053745645	-0.281970054	-0.003855481
ENSMUSG00000023939	Mrpl14	0.056998933	0.145788052	0.030361996	0.085696581	0.01193754	-0.005052199	-0.108299292	-0.015500331
ENSMUSG00000023938	Aars2	-0.10854738	0.043137821	0.142827116	-0.045405213	-0.245624682	-0.199798353	-0.137218422	-0.190925414
ENSMUSG00000009640	Dmap1	0.045571027	-0.028992277	0.020147506	-0.103548341	0.079477188	-0.0314656	-0.216716512	0.088106738
ENSMUSG00000023932	Cdc5l	-0.021076258	-0.030642661	-0.106720055	-0.012532165	-0.184047099	-0.003983879	0.034576163	-0.075656847
ENSMUSG00000023931	Efhb	0.153235408	0.569392666	-0.231894347	0.531155328	0.021209874	0.096058525	0.127434305	0.156626717
ENSMUSG00000011958	Bnip2	0.036789544	0.02095392	-0.017670543	0.197119934	0.013687998	0.212244564	-0.05374895	-0.183160242
ENSMUSG00000035901	Dennd5a	-0.078810719	0.058915368	0.086943513	0.068785728	-0.064427069	-0.069635833	0.019926522	-0.083985331
ENSMUSG00000035900	Gramd4	-0.074987576	0.015282534	0.107662581	-0.101794691	-0.437593811	-0.193563719	-0.100302409	-0.353283891
ENSMUSG00000023927	Satb1	0.272681564	-0.231688807	-0.774286106	-0.11960131	-0.322555795	0.384855644	-0.009211853	0.065319829
ENSMUSG00000009633	G0s2	0.704605491	0.581422101	0.797750051	-0.583284408	-0.110116571	-0.46255562	-0.013182784	-0.447865061
ENSMUSG00000009630	Ppp2cb	-0.24307111	-0.141657236	-0.127088771	0.172229818	-0.026698235	0.069331022	-0.148113878	0.028839476
ENSMUSG00000023923	Tbc1d5	0.226499959	0.00379036	0.151864982	-0.266324818	-0.136280112	-0.04464475	0.03613052	-0.245893069
ENSMUSG00000023921	Mut	0.126772753	0.063682571	0.146973072	-0.151093934	-0.080549495	-0.08936341	0.079601332	-0.14058982
ENSMUSG00000009628	Tex15	-0.405655438	-0.818923219	-0.635102785	-1.014222793	-0.334867861	-0.580552558	-1.43938922	0.852661443
